area_fips,county_name,state_name,pop_total,pct_non_white,pct_uninsured_total,employment_leisure_hospitality,employment_leisure_hospitality_pct_total,employment_plus_uninsured,employment_leisure_hospitality_lq
48027,Bell County,Texas,342236,53.6,15.1,13791,11.4,26.5,1.02
48029,Bexar County,Texas,1925865,72,17.8,117103,13.3,31.1,1.19
48037,Bowie County,Texas,93858,36.1,15.5,5419,13,28.5,1.16
48039,Brazoria County,Texas,353999,51.9,16.4,13533,11.6,28,1.04
48041,Brazos County,Texas,219193,43.9,16.8,16876,15.5,32.3,1.39
48061,Cameron County,Texas,421750,90.9,30.2,16566,11.7,41.9,1.05
48085,Collin County,Texas,944350,42,12.5,50959,11.8,24.3,1.06
48091,Comal County,Texas,135097,31.9,15.4,10273,17.1,32.5,1.53
48099,Coryell County,Texas,75389,41,15.2,1879,11.7,26.9,1.05
48121,Denton County,Texas,807047,40,13,35202,13.5,26.5,1.21
48135,Ector County,Texas,158342,66.6,21.4,9046,11.2,32.599999999999994,1
48141,El Paso County,Texas,837654,87.8,23.8,37983,12.1,35.9,1.09
48157,Fort Bend County,Texas,739342,66.3,13.2,27314,14,27.2,1.25
48167,Galveston County,Texas,327089,42.3,17.4,19220,17.5,34.9,1.56
48181,Grayson County,Texas,128560,24.2,20.5,5563,11.8,32.3,1.05
48199,Hardin County,Texas,56379,13.3,15.4,1788,14,29.4,1.26
48209,Hays County,Texas,204150,45.5,17.6,10657,14.5,32.1,1.3
48213,Henderson County,Texas,80460,21.5,22.3,2236,12.7,35,1.14
48221,Hood County,Texas,56901,15.6,17,2340,13.8,30.8,1.24
48265,Kerr County,Texas,51365,30.9,21.7,2763,14.9,36.6,1.33
48303,Lubbock County,Texas,301454,46,15.6,20620,14.6,30.2,1.31
48339,Montgomery County,Texas,554445,33.1,17.7,26272,13.7,31.4,1.23
48347,Nacogdoches County,Texas,65558,40.4,20.9,3017,13.5,34.4,1.21
48355,Nueces County,Texas,360486,70.1,20.3,22288,13.6,33.9,1.22
48367,Parker County,Texas,129802,16.1,17.7,4323,12.4,30.1,1.11
48375,Potter County,Texas,120899,55.5,24.5,8894,11.5,36,1.03
48381,Randall County,Texas,132475,27.5,13.2,4817,14.8,28,1.33
48397,Rockwall County,Texas,93642,28.4,13.8,5306,16.2,30,1.45
48409,San Patricio County,Texas,67046,61.2,17.7,2384,12.8,30.5,1.15
48439,Tarrant County,Texas,2019977,52.6,19,111447,12.1,31.1,1.08
48441,Taylor County,Texas,136348,36.1,17.4,7656,11.7,29.099999999999998,1.05
48451,Tom Green County,Texas,117466,46.2,16.8,6102,12.8,29.6,1.14
48453,Travis County,Texas,1203166,50.9,14.8,97437,12.5,27.3,1.12
48467,Van Zandt County,Texas,54368,15.9,21.4,1625,14.4,35.8,1.29
48469,Victoria County,Texas,91970,55,18.3,4322,11.2,29.5,1
48479,Webb County,Texas,272053,96.5,29.8,11508,11.2,41,1
48485,Wichita County,Texas,131818,34.4,17.3,6586,12,29.3,1.08
48491,Williamson County,Texas,527057,39.9,12.4,23157,12.8,25.200000000000003,1.14
49053,Washington County,Utah,160537,15.4,13.5,10236,14.4,27.9,1.29
51061,Fauquier County,Virginia,69115,19.6,10.1,2600,11.6,21.7,1.04
51121,Montgomery County,Virginia,97997,16.4,10.4,5009,11.9,22.3,1.06
51153,Prince William County,Virginia,456749,56.3,11.7,17408,13.1,24.799999999999997,1.17
51177,Spotsylvania County,Virginia,131412,31.2,10.2,4920,13.7,23.9,1.23
51660,Harrisonburg city,Virginia,53391,33.4,14.6,5376,16.9,31.5,1.52
51680,Lynchburg city,Virginia,80131,37.7,10.7,6355,12.2,22.9,1.09
53007,Chelan County,Washington,75757,31.9,11.2,5725,12.3,23.5,1.1
56025,Natrona County,Wyoming,80610,13.1,13.2,4728,12,25.2,1.08
